code_commune;libelle_commune;annee;total_delits
69248;Thizy-les-Bourgs;2017;130.0
69248;Thizy-les-Bourgs;2022;165.0
69248;Thizy-les-Bourgs;2024;192.0
69249;Thurins;2017;47.0
69249;Thurins;2022;69.0
69249;Thurins;2024;53.0
69250;La Tour-de-Salvagny;2017;136.0
69250;La Tour-de-Salvagny;2022;418.0
69250;La Tour-de-Salvagny;2024;265.0
69252;Trèves;2017;0.0
69252;Trèves;2022;0.0
69252;Trèves;2024;0.0
69253;Tupin-et-Semons;2017;0.0
69253;Tupin-et-Semons;2022;0.0
69253;Tupin-et-Semons;2024;0.0
69254;Valsonne;2017;0.0
69254;Valsonne;2022;0.0
69254;Valsonne;2024;0.0
69255;Vaugneray;2017;107.0
69255;Vaugneray;2022;142.0
69255;Vaugneray;2024;128.0
69256;Vaulx-en-Velin;2017;3732.0
69256;Vaulx-en-Velin;2022;4067.0
69256;Vaulx-en-Velin;2024;4073.0
69257;Vaux-en-Beaujolais;2017;0.0
69257;Vaux-en-Beaujolais;2022;0.0
69257;Vaux-en-Beaujolais;2024;0.0
69258;Vauxrenard;2017;0.0
69258;Vauxrenard;2022;0.0
69258;Vauxrenard;2024;0.0
69259;Vénissieux;2017;4878.0
69259;Vénissieux;2022;6051.0
69259;Vénissieux;2024;6503.0
69260;Vernaison;2017;167.0
69260;Vernaison;2022;188.0
69260;Vernaison;2024;204.0
69261;Vernay;2017;0.0
69261;Vernay;2022;0.0
69261;Vernay;2024;0.0
69263;Villechenève;2017;0.0
69263;Villechenève;2022;0.0
69263;Villechenève;2024;0.0
69264;Villefranche-sur-Saône;2017;2833.0
69264;Villefranche-sur-Saône;2022;2624.0
69264;Villefranche-sur-Saône;2024;2511.0
69265;Ville-sur-Jarnioux;2017;0.0
69265;Ville-sur-Jarnioux;2022;0.0
69265;Ville-sur-Jarnioux;2024;0.0
69266;Villeurbanne;2017;10030.0
69266;Villeurbanne;2022;12028.0
69266;Villeurbanne;2024;13460.0
69267;Villié-Morgon;2017;19.0
69267;Villié-Morgon;2022;12.0
69267;Villié-Morgon;2024;40.0
69268;Vourles;2017;93.0
69268;Vourles;2022;110.0
69268;Vourles;2024;152.0
69269;Yzeron;2017;0.0
69269;Yzeron;2022;23.0
69269;Yzeron;2024;32.0
69270;Chaponnay;2017;94.0
69270;Chaponnay;2022;90.0
69270;Chaponnay;2024;146.0
69271;Chassieu;2017;608.0
69271;Chassieu;2022;526.0
69271;Chassieu;2024;647.0
69272;Communay;2017;121.0
69272;Communay;2022;145.0
69272;Communay;2024;166.0
69273;Corbas;2017;634.0
69273;Corbas;2022;779.0
69273;Corbas;2024;785.0
69275;Décines-Charpieu;2017;1397.0
69275;Décines-Charpieu;2022;1601.0
69275;Décines-Charpieu;2024;1549.0
